country,year,sex,list,cause,cdr
USA,1990,1,short,9,192
USA,1990,1,short,10,215
USA,1990,1,short,11,551
USA,1990,1,short,12,320
USA,1990,1,short,13,39
USA,1990,1,short,14,146
USA,1990,1,short,15,174
USA,1990,1,short,16,905
USA,1991,1,short,0,9091
USA,1991,1,short,1,360
USA,1991,1,short,2,2280
USA,1991,1,short,3,33
USA,1991,1,short,4,237
USA,1991,1,short,5,93
USA,1991,1,short,6,179
USA,1991,1,short,7,2919
USA,1991,1,short,8,488
USA,1991,1,short,9,187
USA,1991,1,short,10,208
USA,1991,1,short,11,555
USA,1991,1,short,12,316
USA,1991,1,short,13,38
USA,1991,1,short,14,147
USA,1991,1,short,15,165
USA,1991,1,short,16,885
USA,1992,1,short,0,8968
USA,1992,1,short,1,381
USA,1992,1,short,2,2268
USA,1992,1,short,3,33
USA,1992,1,short,4,239
USA,1992,1,short,5,95
USA,1992,1,short,6,180
USA,1992,1,short,7,2863
USA,1992,1,short,8,480
USA,1992,1,short,9,181
USA,1992,1,short,10,200
USA,1992,1,short,11,545
USA,1992,1,short,12,313
USA,1992,1,short,13,38
USA,1992,1,short,14,149
USA,1992,1,short,15,153
USA,1992,1,short,16,850
USA,1993,1,short,0,9158
USA,1993,1,short,1,406
USA,1993,1,short,2,2279
USA,1993,1,short,3,33
USA,1993,1,short,4,255
USA,1993,1,short,5,102
USA,1993,1,short,6,195
USA,1993,1,short,7,2907
USA,1993,1,short,8,495
USA,1993,1,short,9,183
USA,1993,1,short,10,212
USA,1993,1,short,11,576
USA,1993,1,short,12,311
USA,1993,1,short,13,38
USA,1993,1,short,14,152
USA,1993,1,short,15,147
USA,1993,1,short,16,867
USA,1994,1,short,0,9048
USA,1994,1,short,1,429
USA,1994,1,short,2,2258
USA,1994,1,short,3,33
USA,1994,1,short,4,262
USA,1994,1,short,5,102
USA,1994,1,short,6,204
USA,1994,1,short,7,2825
USA,1994,1,short,8,498
USA,1994,1,short,9,176
USA,1994,1,short,10,205
USA,1994,1,short,11,565
USA,1994,1,short,12,312
USA,1994,1,short,13,40
USA,1994,1,short,14,148
USA,1994,1,short,15,136
USA,1994,1,short,16,855
USA,1995,1,short,0,9016
USA,1995,1,short,1,429
USA,1995,1,short,2,2242
USA,1995,1,short,3,33
USA,1995,1,short,4,272
USA,1995,1,short,5,106
USA,1995,1,short,6,215
USA,1995,1,short,7,2807
USA,1995,1,short,8,503
