country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,2002,1,short,4,13,5690.84,12.55,11.6,7.16,9.17,15.27,22.51,42.28,62.03,103.07,152.83,232.39,275.83,300.83,360.77,436.46,677.8,798.78,875.15,1294.36,741.09,553.26,411.13,142.13,117.28,24.85
USA,2002,1,short,4,14,25910.75,121.3,10.55,5.11,9.17,14.25,38.88,55.69,106.49,175.23,316.95,542.26,751.45,945.92,1240.56,1803.22,2862.21,4142.03,4995.62,7773.86,4345.14,3428.71,2524.86,903.85,759.9,143.96
USA,2002,1,short,4,15,15531.89,12815.06,339.71,111.48,127.33,157.85,142.31,139.26,158.23,140.23,169.34,200.89,188.69,172.66,152.22,107.64,107.64,105.64,97.69,98.04,65.55,32.49,22.28,10.21,9.18,1.04
USA,2002,1,short,4,16,115343.48,814.35,1371.86,825.81,1397.98,8159.39,12090.98,9514.62,9271.01,10212.73,11271.25,10125.48,7752.17,5632.28,4086.01,3682.91,4077.2,4647.23,4579.18,5831.03,3480.68,2350.35,1741.39,608.96,549.94,59.03
USA,2003,1,short,4,0,1201964,15910.72,2831.34,1642.14,2512.77,9716.79,14980.77,13057.16,15573.33,21759.01,34716.47,49163.46,61563.36,72204.45,84286.49,100328.06,131120.54,167370.02,174993.77,228233.34,135188.97,93044.37,70168.96,22875.41,19874.03,3001.38
USA,2003,1,short,4,1,35296.34,306.6,129.52,39.61,52.84,96.62,173.05,393.13,1002.59,2189.54,3094.8,3773.34,3558.13,2697.51,2073.41,2133.99,2666.05,3381.49,3462.68,4071.43,2533.57,1537.87,1179.45,358.41,317.52,40.89
USA,2003,1,short,4,2,297306.36,69.04,271.83,319.89,328.16,471.65,585.43,728.41,1235.88,2219.5,4993.16,10084.43,16254.17,23171.28,29881.38,35795.01,43829.43,48915.16,41415.43,36737.09,24697,12040.09,9662.14,2377.95,2141.64,236.31
USA,2003,1,short,4,3,4139.44,62.76,41.09,16.3,34.87,32.67,60.49,55.87,102.13,135.29,206.03,245.08,236.21,220.1,244.79,275.71,387.42,461.68,515.53,805.43,433.7,371.73,266.5,105.23,95.86,9.37
USA,2003,1,short,4,4,46988.8,146.45,114.84,60.11,69.74,115.37,183.55,283.59,464.36,667.35,1262.11,1927.36,2714.29,3523.05,4124.65,4866.7,5826.84,6868.39,6599.64,7170.41,4519.78,2650.63,2028.76,621.87,533.38,88.49
USA,2003,1,short,4,5,22697,0,6.32,3.06,7.18,49.03,153.93,230.96,312.94,626.59,1072.45,1390.43,1327.55,991.49,870.15,843.73,1235.06,2280.47,3636.03,7659.61,3952.73,3706.88,2664,1042.88,911.71,131.17
USA,2003,1,short,4,6,43143.69,241.78,152.8,145.69,184.6,276.69,334.24,270.09,289.94,397.67,698.1,947.74,1150.73,1350.93,1621.92,2150.4,3868.18,6810.59,9017.74,13233.86,7947.74,5286.12,4119.13,1166.99,1050.4,116.59
USA,2003,1,short,4,7,347612.35,259.44,95.89,57.05,102.56,259.32,488.06,709.83,1548.52,3149.19,6795.54,11671.89,16763.88,21198.47,24698.53,29128.96,38399.5,50702.33,57159.67,84423.73,47975.43,36448.3,27085.79,9362.51,8059.08,1303.43
USA,2003,1,short,4,8,62070.08,59.63,26.34,19.36,22.56,52.06,66.64,104.5,219.73,424.47,894.87,1420.46,1988,2418.05,3109.78,4164.89,6578.12,10056.55,12340.68,18103.37,10578.32,7525.05,5723.29,1801.76,1614.38,187.38
USA,2003,1,short,4,9,20224.47,27.2,3.16,1.02,8.2,23.48,45.11,68.29,105.22,187.97,334.17,555.53,722.83,888.48,1261.26,1746.88,2367.85,3420.01,3525.33,4932.48,2825.28,2107.2,1532.26,574.94,489.56,85.37
USA,2003,1,short,4,10,29348.95,246.87,122.22,39.73,35.89,52.07,78.95,95.19,148.55,224.12,368,542.26,774.54,754.2,1054.75,1530.54,2399.04,4074.8,5660.94,11146.28,5664.46,5481.82,3786.88,1694.94,1396.16,298.78
USA,2003,1,short,4,11,83476.96,193.52,88.5,43.81,78.96,87.79,137.38,134.51,183.62,282.99,503.31,1118.21,1702.15,3074.35,5129.66,7696.95,11892.5,16081.79,16121.71,18925.23,11729.15,7196.08,5548.97,1647.11,1440.99,206.12
USA,2003,1,short,4,12,44283.88,316.88,68.57,33.74,33.31,62.65,90.47,180.18,431.66,991.13,2320.58,3868.48,4795.59,4225.4,3933.31,3869.94,4254.77,4663.86,4599.05,5544.3,3330.76,2213.54,1687.36,526.18,448.39,77.79
USA,2003,1,short,4,13,5854.16,10.46,8.43,6.11,13.33,23.48,26.66,42.42,58.8,115.67,177.33,217.51,300.07,336.2,401.94,488.03,654.08,843.9,864.92,1264.82,726.19,538.63,384.04,154.58,125.44,29.15
USA,2003,1,short,4,14,26876.95,127.64,10.54,3.06,10.26,23.48,47.16,63.12,122.77,178.68,364.94,553.51,838.44,1094.49,1384.22,1880.8,2767.46,4142.35,5254.36,8009.68,4532.97,3476.71,2611.51,865.2,748.6,116.6
USA,2003,1,short,4,15,15566.48,13001.39,335.05,100.85,112.8,153.13,133.28,124.16,118.63,134.26,179.38,180.75,175.38,190.82,148.08,108.67,92.58,86.5,92.63,98.13,57.49,40.64,27.36,13.28,12.24,1.04
USA,2003,1,short,4,16,117078.1,841.07,1356.24,752.76,1417.52,7937.29,12376.35,9572.92,9227.99,9834.58,11451.7,10666.48,8261.4,6069.62,4348.65,3646.84,3901.66,4580.14,4727.41,6107.48,3684.39,2423.09,1861.51,561.57,488.68,72.89
USA,2004,1,short,4,0,1181668,15727.12,2653.81,1646.71,2356.17,9689.07,14925.57,13569.17,14818.54,20501.46,33212.89,48537.58,62669.47,73417.84,84646.03,98468.57,124450.9,160324,173378.25,226674.85,133680.83,92994.02,70176.38,22817.63,19822.25,2995.38
USA,2004,1,short,4,1,35274.55,335.52,108.7,43.65,41.34,76.71,201.27,367.76,895.43,1822.99,2927.64,3589.18,3677.5,2906.62,2189.65,2198.49,2679.43,3305.9,3587.17,4319.63,2681.82,1637.81,1237.22,400.59,357.14,43.44
USA,2004,1,short,4,2,296095.95,75.37,249.5,329.67,298.32,466.47,643.91,733.88,1159.33,2025.94,4709.82,9717.57,16455.57,23735.88,30187.12,35824.27,42434.54,47946.48,41751.01,37351.33,25016.66,12334.67,9890.14,2444.53,2204.57,239.96
USA,2004,1,short,4,3,4116.93,61.75,39.5,25.52,24.27,46.65,58.26,73.99,95.42,131.17,197.48,231.94,234.79,265.45,262.93,279.72,340.95,424.65,525.94,796.54,446.49,350.04,249.64,100.41,83.7,16.71
USA,2004,1,short,4,4,46941.78,155.95,81.08,47.97,69.78,96.34,185,250.74,418.59,695.82,1202.27,1954.11,2761.69,3595.88,4239.69,4785.79,5668.34,6652.88,6738.4,7341.46,4559.86,2781.6,2165.56,616.04,531.53,84.51
USA,2004,1,short,4,5,23654.04,2.09,4.16,4.08,14.16,54.81,151.41,246.94,319.43,591.87,1038.62,1391.9,1439.26,1169.66,956.58,871.66,1299.46,2281.79,3724.69,8091.46,4138.57,3952.89,2852.04,1100.85,956.88,143.97
USA,2004,1,short,4,6,43739.62,232.36,174.68,125.6,185.15,279,284.25,270.35,285.26,388.41,663.06,930.79,1155.7,1417.96,1622.74,2193.16,3641.03,6586.23,9423.25,13880.63,8369.95,5510.68,4292.25,1218.44,1107.85,110.58
USA,2004,1,short,4,7,333970.25,239.74,98.76,33.68,90.01,247.46,470.2,777.99,1482.67,2958.8,6493.93,11563,16595.85,20827.1,24367.19,27730.88,35169.78,47145.38,55132.96,82544.88,46459.31,36085.57,26753.08,9332.49,8019.95,1312.54
USA,2004,1,short,4,8,59394.39,74.31,23.91,18.37,22.25,41.58,76.66,115.1,176.47,398.64,870.77,1419.08,2039.18,2417.16,3153.9,4206.39,6066.63,9398.41,11782.64,17092.93,9975.76,7117.17,5434.53,1682.64,1481.28,201.36
USA,2004,1,short,4,9,19063.95,26.17,2.08,3.06,8.09,16.22,51.1,78.1,113.88,177.28,328.44,529.97,697.23,851.76,1177.48,1535.19,2251.36,2968.67,3448.61,4799.27,2780.56,2018.71,1512.23,506.49,437.63,68.85
USA,2004,1,short,4,10,27347.31,213.51,64.45,21.43,29.33,47.66,79.72,73.99,130.29,189.58,331.51,482.16,691.16,806.35,1044.53,1395.35,2247.34,3699.01,5402.55,10397.4,5278.41,5118.99,3533.6,1585.39,1303.71,281.68
USA,2004,1,short,4,11,82286.3,169.55,91.48,48.99,66.74,85.18,106.29,122.29,163.12,267.46,543.31,1024.34,1800.27,3034.69,5079.66,7576.43,11424.88,15632.23,16203.81,18845.58,11761.47,7084.11,5446.51,1637.6,1440.43,197.18
USA,2004,1,short,4,12,43291.03,306.08,65.95,24.74,21.36,40.93,99.26,161.58,409.84,966.94,2199.44,3695.92,4846.78,4405.42,3831.97,3661.75,4017.5,4643.59,4442.29,5449.7,3248.95,2200.75,1691.95,508.8,440.61,68.19
USA,2004,1,short,4,13,5837.07,15.7,7.28,2.04,13.15,28.39,39.86,40.08,51.3,105.55,142.22,241.08,327.87,341.11,426.07,437.62,585.21,827.93,916.54,1288.09,721.89,566.19,410.77,155.43,138.74,16.69
USA,2004,1,short,4,14,27047.25,126.65,16.63,5.1,10.11,16.23,47.02,58.58,83.1,190.61,357.1,583.9,867.27,1167.68,1401.14,1900.44,2660.71,4143.82,5257.71,8153.46,4531.45,3622.02,2704.06,917.95,788.58,129.37
USA,2004,1,short,4,15,15462.78,12809.73,370.07,128.6,109.21,150.08,142.07,126.4,117.98,134.24,156.55,193.27,188.22,189.73,135.98,107.64,102.56,115.69,81.58,103.19,69.67,33.53,27.38,6.14,5.1,1.04
USA,2004,1,short,4,16,118144.81,882.64,1255.58,784.2,1352.92,7995.36,12289.31,10071.42,8916.44,9456.17,11050.72,10989.4,8891.13,6285.4,4569.39,3763.79,3861.17,4551.35,4959.1,6219.3,3640.02,2579.28,1975.42,603.86,524.54,79.31
USA,2005,1,short,4,0,1207675,16025.64,2768.89,1557.13,2298.91,9892.64,15633.06,14251.12,15049.73,20021.36,33312.03,49296.08,65210.17,78002.19,87452.2,98421.94,124405.67,159126.74,176134.28,238815.22,139822.84,98992.39,75032.17,23960.21,20973.92,2986.29
USA,2005,1,short,4,1,36318.02,461.37,116.38,53.04,56.49,86.17,171.11,390.75,754.14,1582.12,2770.94,3580.47,3912.48,3107.71,2314.36,2304.33,2773.39,3400.57,3781.63,4700.57,2872.86,1827.71,1409.18,418.52,366.71,51.82
USA,2005,1,short,4,2,299866.82,70.39,260.48,287.38,320.09,478.46,634.18,809.7,1135.12,1964.74,4715.91,9606.95,16612.42,24543.35,30704.87,35903.74,42592.44,47411.53,42681.34,39133.71,26169.97,12963.74,10510.03,2453.71,2244.45,209.26
USA,2005,1,short,4,3,4156.54,59.88,45.16,12.23,21.61,35.63,55.32,72.02,78.14,138.72,176.9,226.21,253.56,282.81,241.66,284.76,339.96,446.72,578.9,806.34,447.13,359.21,245.5,113.71,104.3,9.42
USA,2005,1,short,4,4,49149.85,131.33,89.28,56.05,77.19,117.07,196.71,263.38,448.29,727.52,1303.71,2055.25,2883.47,4037.12,4509.89,4848.99,5794.42,6835.63,6826.01,7948.55,4944.65,3003.9,2339.36,664.54,578.74,85.8
USA,2005,1,short,4,5,26833,2.1,2.1,1.02,6.18,71.28,175.24,245.97,293.13,526.36,1095.7,1427.36,1540.54,1282.52,1066.86,935.15,1361.06,2563.78,4535.67,9700.98,4974.97,4726.01,3423.84,1302.17,1145.22,156.95
USA,2005,1,short,4,6,47202.25,232.24,177.54,124.34,160.6,324.76,315.57,282.97,281.77,455.26,685.18,975.25,1252.65,1568.68,1743.97,2275.14,3863.33,7012.78,10178.67,15291.55,9145.47,6146.08,4795.41,1350.67,1218.84,131.84
USA,2005,1,short,4,7,335563.38,208.04,85.09,50.96,84.41,275.91,523.59,851.97,1463.25,2977.17,6418.93,11488.83,17187.64,21765.04,24669.87,26877.25,34179.67,45676.48,54473.03,86306.25,47990.37,38315.88,28492.28,9823.6,8489.48,1334.12
USA,2005,1,short,4,8,57186.93,76.71,43.07,27.52,28.82,34.62,61.48,112.15,197.43,365.85,812.97,1370.63,2132.11,2563.69,3125.65,4024.18,5726.43,8659.34,11178.08,16646.19,9761.72,6884.47,5329.31,1555.16,1383.55,171.6
USA,2005,1,short,4,9,19229.42,25.21,7.35,5.1,11.32,18.32,35.86,60.7,111.04,182.91,335.38,549.22,736.33,958.53,1238.48,1595.87,2161.47,2982.16,3355.62,4858.54,2720.11,2138.43,1592.71,545.71,469.33,76.38
USA,2005,1,short,4,10,28602.94,192.27,75.63,33.63,28.82,50.9,75.82,84.37,124.42,198.33,368.13,585.94,754.64,917.18,1096.59,1414.85,2270.25,3761.17,5558.87,11011.13,5493.1,5518.03,3921.2,1596.83,1346.75,250.08
USA,2005,1,short,4,11,85986.07,221.68,91.38,48.92,54.55,85.51,92.21,114.2,152.17,239.43,514.34,1143.34,1967.71,3270.7,5441.57,8000.94,11738.36,16064.82,16884.83,19859.4,12198.37,7661.03,5950.19,1710.84,1527.73,183.11
USA,2005,1,short,4,12,44136.27,269.94,74.8,24.42,36.16,42.12,92.22,173.12,341.02,838.14,2074.44,3712.35,4964.46,4901.15,4113.7,3685.61,4011.67,4492.47,4548.51,5739.98,3323.99,2415.99,1827.31,588.68,508.65,80.03
USA,2005,1,short,4,13,6051.71,9.46,7.36,4.08,9.26,21.38,36.88,33.95,63.75,88.39,169.76,236.44,340.83,395.98,413.91,461.93,600.57,827.18,951.63,1379,782.36,596.64,421.08,175.55,145.21,30.34
USA,2005,1,short,4,14,28224.78,106.11,14.7,4.08,10.29,20.36,39.96,68.93,119.27,174.69,345.61,625.64,857.03,1248.41,1582.84,1840.38,2842.4,4184.48,5387.31,8752.29,4912.35,3839.94,2815.15,1024.8,879.36,145.44
USA,2005,1,short,4,15,15690.07,13081.13,315.1,94.77,116.3,184.26,160.85,137.86,116.18,133.58,149.29,176.28,190.68,213.12,161.1,77.48,76.44,87.53,105.71,112.38,67.62,44.76,35.51,9.25,7.16,2.09
USA,2005,1,short,4,16,123476.94,877.78,1363.47,729.61,1276.81,8045.88,12966.06,10549.06,9370.6,9428.14,11374.86,11535.9,9623.63,6946.21,5026.88,3891.32,4073.8,4720.09,5108.47,6568.37,4017.8,2550.57,1924.11,626.46,558.44,68.02
USA,2006,1,short,4,0,1201942,15984.63,2543.21,1551.89,2075.1,9923.77,16161.14,15189.38,15014.66,20139.86,32031.2,49032.79,66168.39,81385.76,87624.22,98730.09,119452.87,154237.59,173100.82,241594.63,141818.53,99776.1,75519.22,24256.88,21169.6,3087.28
USA,2006,1,short,4,1,36351.44,422.47,114.36,52.04,55.76,86.74,186.15,386.29,660.23,1435.32,2526.82,3326.58,3916.94,3438.44,2437.32,2379.29,2653.97,3527.59,3799.53,4945.63,3058.08,1887.55,1481,406.55,360.58,45.97
USA,2006,1,short,4,2,299598.08,75.09,243.89,289.1,270.84,447.66,628.13,790.67,1091.3,1938.28,4332.14,9398.8,16694.07,25515.56,30983.34,36151.74,41134.3,46485.04,43106.61,40021.53,26836.43,13185.1,10670.13,2514.97,2279.68,235.29
USA,2006,1,short,4,3,3838.31,60.49,51.73,18.45,16.29,34.44,53.02,82.85,71.79,97.07,180.46,195.83,231.55,272.3,257.69,255.5,302.8,420.75,484.74,750.57,394.01,356.56,257.87,98.69,85.04,13.66
USA,2006,1,short,4,4,48169.39,131.43,73.92,45.11,50.91,100.27,185.6,284.39,430.8,694.82,1269.39,2050.71,2961.85,4052.36,4579.27,4884.89,5531.21,6510.98,6632.72,7698.79,4903.24,2795.54,2164.58,630.96,556.38,74.59
USA,2006,1,short,4,5,33907.34,0,3.17,4.1,4.07,70,174.65,266.35,337.02,493.33,1071.26,1429.87,1623.26,1445.06,1192.05,1203.86,1815.32,3412.78,6083.3,13277.89,6891.28,6386.61,4658.87,1727.75,1506.11,221.64
USA,2006,1,short,4,6,48735.67,223.17,152.04,119.94,159.86,300.8,350.77,300.71,292.31,430.15,679.02,928.4,1259.87,1610.58,1858.16,2356.83,4072.22,7226.3,10096.98,16317.56,9741.09,6576.48,5110.61,1465.87,1310.41,155.46
USA,2006,1,short,4,7,328299.02,195.03,93.97,51.26,93.68,240.06,494.6,870.52,1551.94,2894.86,6152.54,11437.16,17165.67,22404.02,24399.08,26752.47,32474.14,43259.1,52530.35,85238.58,47415.44,37823.14,27976.81,9846.33,8493.31,1353.02
USA,2006,1,short,4,8,55101.5,86.56,27.45,26.65,30.55,36.46,80.56,108.42,188.72,402.57,785.05,1372.81,2152.7,2782.46,3160.69,3990.42,5441.36,8153.37,10299.54,15975.18,9358.19,6616.99,5087.26,1529.73,1360.61,169.11
USA,2006,1,short,4,9,17123.41,32.33,1.06,5.13,7.13,23.29,41.81,69.55,99.49,191.07,306.88,535.73,706.78,952.03,1083.09,1402.23,1838.94,2578.88,2860.09,4387.92,2505.49,1882.43,1378.67,503.76,433.39,70.38
USA,2006,1,short,4,10,26137.07,210.66,81.3,21.53,18.33,39.5,71.38,85.92,96.42,159.4,318.12,488.08,729.08,843.17,1059.01,1372.15,2033.25,3415.62,4999,10095.14,5135.65,4959.5,3493.65,1465.85,1232.64,233.21
USA,2006,1,short,4,11,83444.38,222.13,90.8,55.36,70.26,74.95,97.89,132.97,157.95,250.33,533.24,1012.65,1959.65,3376.6,5223.42,7574.78,10980.75,15146.74,16579.61,19904.31,12331.82,7572.49,5930.05,1642.44,1432.36,210.08
USA,2006,1,short,4,12,44123.22,194.93,54.61,20.75,28.75,41.89,100.42,201.87,354.24,864.83,1953.47,3631.44,5067.66,5122.39,4200.57,3746.03,3916.46,4408.68,4486.81,5727.42,3355.36,2372.05,1802.32,569.74,498.06,71.68
USA,2006,1,short,4,13,5825.66,15.64,6.33,3.08,9.16,23.29,42.83,42.96,56.41,87.87,153.95,250.62,326.6,416.51,425.79,523.07,588.5,746.89,807.23,1298.93,733.46,565.47,405.07,160.4,137.29,23.11
USA,2006,1,short,4,14,28870.34,120.97,9.5,3.08,17.31,16.2,46.91,53.19,127.18,189.02,371.11,618.93,962.6,1310.04,1585.38,1984.65,2839.89,4188.42,5323.11,9102.85,5074.62,4028.23,2959.36,1068.87,933.37,135.5
USA,2006,1,short,4,15,15625.34,13016.91,296.71,100.49,98.79,147.89,146.85,151.4,121.04,140,132.59,193.84,189.16,227.98,171.17,93.62,87.59,94.7,98.86,115.76,66.79,48.97,36.6,12.37,10.26,2.11
USA,2006,1,short,4,16,126791.81,976.84,1242.36,735.82,1143.41,8240.33,13459.58,11361.31,9377.84,9870.95,11265.15,12161.35,10220.96,7616.28,5008.2,4058.58,3742.18,4661.74,4912.36,6736.57,4017.58,2718.99,2106.38,612.6,540.11,72.49
USA,2007,1,short,4,0,1203968,16300.37,2636.11,1519.82,2067,9562.72,15765.31,15113.4,14691.29,19762.14,30359.09,47915.26,66564.31,81601.65,92038.02,100500.45,117860.67,149679.58,171145.93,248884.86,146124.68,102760.18,77482.93,25277.25,22103.93,3173.32
USA,2007,1,short,4,1,36131.93,475.29,109.63,55,49.73,69.79,199.55,381.85,589.12,1282.01,2268.86,3089.58,3783.98,3511.07,2656,2482.88,2823.98,3321.12,3833,5149.49,3163.9,1985.59,1556.46,429.13,382.59,46.54
USA,2007,1,short,4,2,302787.59,65.74,230.68,280.27,275.35,417.14,629.27,777.87,1038.81,1862.36,4125.94,9180.13,16880.16,25347.85,32512.7,36971.56,40798.38,45967.08,43203.17,42223.11,28367.01,13856.11,11221.5,2634.61,2371.92,262.69
USA,2007,1,short,4,3,4268.27,69.91,35.81,22.34,27.53,39.58,55.91,77.58,82.57,121.24,174.03,204.79,261.84,249.24,261.89,305.84,352.32,457.16,568.67,900.01,505.46,394.55,289.73,104.81,89.18,15.64
USA,2007,1,short,4,4,48497.45,154.43,89.53,62.96,47.93,100.48,205.35,304.21,434.29,767.17,1158.23,2006.4,3010.76,4070.71,4649.85,5034.46,5524.65,6194.05,6693.21,7988.78,5026.54,2962.24,2305.76,656.48,567.88,88.61
USA,2007,1,short,4,5,32247.17,0,5.27,6.09,13.26,42.63,102.67,181.7,210,371.87,659.68,1089.87,1258.84,1255.33,1094.14,1139.12,1644.97,3341.35,5905.9,13924.46,7208.39,6716.07,4879.14,1836.94,1603.41,233.53
USA,2007,1,short,4,6,50359.53,228.52,155.89,120.83,194.78,265.91,344.61,279.7,277.29,432.98,605.55,1009.75,1337.5,1661.93,2006.56,2515.21,4008.65,7241.55,10433.47,17238.84,10163.64,7075.2,5498.22,1576.97,1429.98,146.99
USA,2007,1,short,4,7,322490.25,248.36,87.43,63.97,71.39,238.51,485.95,877.96,1389.59,2836.5,5914.5,11046.22,16961.04,22003.03,25211.14,26480.8,31019.42,40824.59,50550.14,86179.73,47561.1,38618.63,28436.39,10182.25,8822.85,1359.4
USA,2007,1,short,4,8,54705.56,80.36,21.07,17.26,20.4,40.6,74.21,91.88,165.17,408.59,755.26,1429.68,2121.26,2782.29,3260.93,4005.4,5411.07,7926.3,9918.02,16175.81,9541.62,6634.19,5048.72,1585.47,1417.64,167.83
USA,2007,1,short,4,9,16758.71,40.71,2.11,6.09,9.18,23.34,47.78,53.09,109.09,221.11,345.05,502.91,702.74,934.58,1235.19,1432.87,1815.33,2324.45,2714.83,4238.26,2414.52,1823.75,1365.53,458.22,398.79,59.43
USA,2007,1,short,4,10,24550.17,183.66,74.79,28.43,28.56,26.39,73.2,96.99,101.95,159.97,300.27,479.59,680.46,851.74,1063.82,1248.65,1839.34,2983.98,4506.55,9821.83,4944.07,4877.76,3384.74,1493.02,1223,270.02
USA,2007,1,short,4,11,86059.57,222.27,97.99,49.81,71.44,91.4,124.1,146.07,167.28,246.64,504.94,1135.66,2101.05,3494.72,5609.05,7977.49,11150.22,15049.95,16853.49,20965.99,13134.91,7831.08,6043.2,1787.87,1598.14,189.74
USA,2007,1,short,4,12,45479.05,222.81,59.96,25.22,32.88,54.03,86.13,219.49,372.39,830.39,1953.53,3699.01,5308.94,5478.77,4633.57,3991.57,3889.67,4348.21,4421.03,5851.44,3519.54,2331.91,1769.98,561.93,494.84,67.09
USA,2007,1,short,4,13,5995.7,9.39,9.48,4.06,12.25,22.33,34.57,53.11,69.38,97.84,152.74,255.63,323.62,404.69,449.33,508.1,588.93,752.25,895.47,1352.53,774.44,578.09,428.03,150.06,126.09,23.98
USA,2007,1,short,4,14,29440.81,88.7,16.85,9.14,7.14,13.19,46.76,66.35,102.96,185.42,322.62,589.02,917.95,1304.71,1646.92,2050.31,2890.04,4168.79,5506.2,9507.73,5354.89,4152.84,3092.54,1060.31,911.24,149.07
USA,2007,1,short,4,15,15689.77,13180.23,337.1,104.59,107.08,120.78,134.22,139.86,111.13,122.28,142.54,189.69,178.1,213.12,169.38,98.65,71.49,95.66,84.7,89.17,64.7,24.47,18.3,6.17,5.13,1.04
USA,2007,1,short,4,16,128506.48,1029.99,1302.52,663.75,1098.11,7996.61,13121.02,11365.67,9470.24,9815.77,10975.36,12007.32,10736.09,8037.87,5577.54,4257.54,4032.22,4683.1,5058.09,7277.68,4379.96,2897.72,2144.71,753.01,661.26,91.75
USA,2008,1,short,4,0,1226197,15672.7,2694.23,1396.29,1884.55,8960.4,15073.06,15003.74,14638.62,19108.1,28587.12,47346.44,67707.2,83431.17,96133.92,105409.42,120003.36,149211.42,172700.3,261234.97,152353.7,108881.27,82219.51,26661.76,23332.49,3329.27
USA,2008,1,short,4,1,36590.5,427.82,113.41,37.44,36.07,70.94,158.95,390.5,549.83,1023.71,1923.4,2852.2,3745.17,3790.17,3035.24,2617.26,2771.14,3517.48,3991.68,5538.08,3391.39,2146.7,1670.49,476.21,421.79,54.41
USA,2008,1,short,4,2,305948.01,77.41,254.94,260.93,249.43,455.6,645.45,832.15,1064.54,1896.74,3872.57,9305.37,17206.32,25684.82,33268.37,38411.87,41217.74,45027.95,43076.25,43139.56,28859.4,14280.16,11560.86,2719.3,2483.82,235.48
USA,2008,1,short,4,3,4335.16,44.98,54.4,24.37,23.71,38.64,63.32,71.65,78.89,103.49,148.04,188.34,256.5,286.26,306.77,326.39,343.58,455.7,579.56,940.58,504.23,436.34,320.84,115.5,95.53,19.97
USA,2008,1,short,4,4,48898.58,134.94,97.07,46.7,70.09,100.68,251.23,287.62,402.66,721.39,1167.99,1990.37,2992.94,4086.6,4894.36,5177.01,5503.38,6158.07,6462.14,8353.34,5232.78,3120.56,2420.12,700.44,615.29,85.15
USA,2008,1,short,4,5,36700.25,1.05,7.47,4.06,8.25,34.58,88.85,153.53,183.4,343.27,602.36,971.24,1286.57,1288.67,1207.92,1272.31,1905.28,3854.25,6982,16505.2,8529.42,7975.77,5764.99,2210.78,1929.06,281.72
USA,2008,1,short,4,6,54251.9,237.46,168.55,106.61,155.64,300.01,387.07,288.65,327.88,396.58,626.9,1053.77,1368.78,1658.97,2068.81,2792.55,4321.51,7632,11163.22,19196.95,11219.74,7977.21,6262.07,1715.14,1546.95,168.19
USA,2008,1,short,4,7,325401.74,232.22,105.6,53.81,77.3,252.21,508.6,870.04,1444.71,2754.52,5557.39,10906.27,17212.14,22153.48,26058.12,27513.98,31140.17,39945.08,49518.83,89097.28,48875.71,40221.57,29630.18,10591.39,9174.29,1417.09
USA,2008,1,short,4,8,54208.56,72.19,30.94,24.37,25.77,42.71,69.45,101.34,201.85,377.1,730.01,1330.68,2068.33,2678.59,3234.36,4114.26,5233.43,7442.62,10093.21,16337.36,9587.86,6749.5,5159.15,1590.35,1401.13,189.22
USA,2008,1,short,4,9,15495.33,39.75,1.07,3.05,7.21,20.34,35.74,66.53,101.43,212.11,265.45,460.17,624.53,857.76,1045.45,1381.11,1705.79,2209.92,2457.58,4000.33,2309.55,1690.79,1278.28,412.51,341.03,71.48
USA,2008,1,short,4,10,26124.91,159,100.27,27.41,24.74,35.59,97.02,98.26,123.98,184.45,317.53,515.16,775.62,953.89,1265.49,1461.76,2033.32,3209.15,4615.47,10126.79,5046.57,5080.22,3513.12,1567.1,1316.91,250.2
USA,2008,1,short,4,11,92467.89,192.47,87.47,59.9,49.47,76.27,118.47,135.11,160.86,260.27,485.98,1056.77,2225.42,3792.2,6146.64,8787.43,11941.66,15904.14,17839.38,23147.99,14393.05,8754.94,6801.95,1952.99,1715.42,237.57
USA,2008,1,short,4,12,46866.96,161.1,69,31.6,23.71,50.08,96.38,213.41,432.78,858.73,1884.96,3650.66,5428.79,5635.86,5068.65,4189.12,4057.57,4402.33,4451.95,6160.27,3696.77,2463.5,1860.07,603.43,523.29,80.15
USA,2008,1,short,4,13,6090.53,9.41,4.27,4.06,10.31,11.19,34.72,47.11,60.48,101.48,141.97,227.11,316.41,420.93,467.34,557.22,635.87,727.98,887.59,1425.1,817.14,607.95,446.13,161.83,137.65,24.18
USA,2008,1,short,4,14,29558.13,84.73,13.87,7.11,4.12,11.19,40.85,67.56,103.48,186.5,341,573.19,979.4,1394.92,1758.96,2215.27,2867.58,4035.85,5381.84,9490.73,5316.92,4173.81,3088.39,1085.42,966.63,118.79
USA,2008,1,short,4,15,15309.58,12755.07,320,102.55,87.61,153.56,149.1,108.49,112.7,122.96,140.89,172.05,212.91,200.28,212.93,107.79,89.67,79.65,68.66,112.69,75.94,36.75,26.48,10.27,10.27,0
USA,2008,1,short,4,16,127948.96,1043.12,1265.9,602.31,1031.11,7306.8,12327.84,11271.81,9289.15,9564.79,10380.67,12093.08,11007.38,8547.78,6094.52,4484.1,4235.68,4609.26,5130.95,7662.72,4497.22,3165.49,2416.39,749.1,653.43,95.67
