country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1980,1,short,4,4,20706.43,220.94,98.57,96.65,88.66,82.74,136.48,200.69,295.11,345.72,404.96,589.21,1023.46,1619.46,2061.19,2708.28,2987.5,2917.47,2339.98,2489.36,1575.42,913.94,679.66,234.28,197.2,37.08
USA,1980,1,short,4,5,9171.02,9.61,28.13,10.3,22.1,69.14,199.79,381.48,397.94,445.78,425.29,596.06,709.66,741.27,682.06,690.55,692.64,729.45,950.36,1389.43,827.42,562.01,431.82,130.19,112.26,17.94
USA,1980,1,short,4,6,13487.32,561.24,427.92,175.43,196.39,376.31,390.12,293.13,315.21,337.43,318.43,402.45,676.31,930.7,1168.5,1476.1,1728.5,1583.29,1166.07,963.8,643.92,319.88,251.72,68.16,59.71,8.45
USA,1980,1,short,4,7,407085.15,322.24,169.49,59.03,93.53,282.53,469.89,714.97,1387.91,2900.74,5741.08,10856.38,20287.58,32689.14,43133.76,55361.3,61468.05,59595.2,50990.73,60561.62,37067.34,23494.28,17832.93,5661.35,4890.69,770.66
USA,1980,1,short,4,8,72093.5,78.57,28.76,22.32,25.39,72.3,156.68,186.19,286.05,405.31,676.55,1053.49,1960.62,2989.65,4806.8,7458.36,10592.6,12805.5,12823.09,15665.26,9680.2,5985.06,4544.21,1440.85,1246.91,193.93
USA,1980,1,short,4,9,27295.18,18.89,2.94,4.78,5.16,17.59,45.28,61.12,95.1,136.85,204.98,358.5,704.57,1326.71,2238.68,3306.53,4146.15,4386.24,4217.45,6017.67,3424.69,2592.99,1862.51,730.48,613.85,116.63
USA,1980,1,short,4,10,20337.12,531.81,166.08,51.16,41.87,58.25,94.53,135.72,145.27,211.43,252.16,361.16,527.08,799.92,1085.37,1595.45,2131.41,2743.27,3567.64,5837.56,3259.06,2578.5,1892.2,686.3,579.97,106.33
USA,1980,1,short,4,11,52778.97,300.65,108.33,36.88,64.34,102.5,146.32,168.81,197.54,195.54,338.5,693.19,1481.85,2961.06,5306.44,8223.82,9998.77,9589.45,6856.48,6008.48,4138.79,1869.69,1483.71,385.98,341.31,44.66
USA,1980,1,short,4,12,41529.61,291.45,68.93,27.49,39.16,80.66,164.73,435.58,888.91,1341.28,1905.07,2735.23,4010.25,4784.35,5073.41,5212.38,4644.09,3760.01,2849.03,3217.61,2022.03,1195.58,902.56,293.02,269.13,23.89
USA,1980,1,short,4,13,3765.68,18.25,14.87,6.19,13.86,26.31,27.57,37.5,49.28,43.64,79.09,106.98,157.85,239.39,373.42,491.29,562.05,513.99,445.88,558.29,345.05,213.24,158.65,54.59,45.86,8.72
